JA_BI,

noun1,noun2,frequency
et,al.,1.36
et,al,0.83
foxo+,cells,0.42
mass,loss,0.36
motor,neuron,0.36
heart,disease,0.3
cave,system,0.3
t.,elegans,0.3
mdxcv,mice,0.24
heart,failure,0.24
c.,nativo,0.24
ejaculatory,bulb,0.24
p.,alni,0.24
stream,waters,0.24
body,weight,0.18
d,activity,0.18
cell,counts,0.18
reserve,types,0.18
deforestation,rates,0.18
vasa,deferentia,0.18
deferentia,expand,0.18
carbon,source,0.18
study,period,0.18
postojna,cave,0.18
pivka,river,0.18
litter,decomposition,0.18
mm,nacl,0.18
tumor,cells,0.18
motor,neurons,0.18
%,gte,0.12
%,egcg,0.12
food,consumption,0.12
consumption,index,0.12
g/g,body,0.12
mg/kg,body,0.12
body,wt,0.12
th,therapy,0.12
ca+,transients,0.12
heavy,chain,0.12
pressure,overload,0.12
gene,program,0.12
cnemidophorus,nativo,0.12
bahia,state,0.12
c.,ocellifer,0.12
g,liter,0.12
cfu,ml,0.12
spore,solution,0.12
h,photoperiod,0.12
growth,chamber,0.12
inhibitor,y,0.12
y,effect,0.12
land,area,0.12
outer,margin,0.12
accessory,cell,0.12
cross,vein,0.12
descending,arm,0.12
genus,exorista,0.12
junk,et,0.12
p.,pusillum,0.12
band,disease,0.12
mucus,bacteria,0.12
pathogen,vibrio,0.12
clone,libraries,0.12
culture,collection,0.12
tuffryn®,membrane,0.12
membrane,filters,0.12
wastewater,treatment,0.12
treatment,plant,0.12
plant,effluent,0.12
carbon,substrates,0.12
water,temperature,0.12
phytoplankton,biomass,0.12
phytoplankton,community,0.12
community,composition,0.12
air,inflow,0.12
traction,force,0.12
traction,stress,0.12
adhesion,length,0.12
dia,inh,0.12
leaf,litter,0.12
sporulation,rates,0.12
sporulation,rate,0.12
sporulation,peak,0.12
sporulation,peaks,0.12
greenhouse,gas,0.12
gas,emissions,0.12
soil,processes,0.12
co2,evolution,0.12
plant,litter,0.12
npc,subcomplexes,0.12
growth,cones,0.12
room,temperature,0.12
fluorescence,microscopy,0.12
mm,tris,0.12
mm,pmsf,0.12
cell,debris,0.12
a5ß1,recycling,0.12
cancer,cells,0.12
plasma,membrane,0.12
neuron,nuclei,0.12
neuron,differentiation,0.12
antibody,specificity,0.12
l2,animals,0.12
cell,lines,0.12
ht1080,cells,0.12
bovine,serum,0.12
results,effects,0.06
mouse,weight,0.06
food,intake,0.06
mean,body,0.06
mdx,mice,0.06
test,substances,0.06
body,wt/day,0.06
drug,intake,0.06
%,ptx,0.06
mdxcv,animals,0.06
muscle,histology,0.06
soleus,muscles,0.06
muscle,fibers,0.06
%,nrs,0.06
mice,fed,0.06
nrs,values,0.06
thyroid,hormone,0.06
heart,function,0.06
prohormone,thyroxine,0.06
mouse,hearts,0.06
tetracycline,transactivator,0.06
transactivator,system,0.06
t,levels,0.06
ca+,uptake,0.06
phenotypic,changes,0.06
calcium,atpase,0.06
na+/ca+,exchanger,0.06
sr,ca+,0.06
ca+,cycling,0.06
expression,patterns,0.06
gene,expression,0.06
th,levels,0.06
ca+,homeostasis,0.06
myosin,isozyme,0.06
action,potential,0.06
potential,profile,0.06
mhc,shifts,0.06
deiodinase,type,0.06
receptor,expression,0.06
th,use,0.06
heart,dis¬ease,0.06
deiodinase,enzyme,0.06
mone,t,0.06
contractile,function,0.06
calcium,cycling,0.06
disease,patients,0.06
lizard,body,0.06
body,measurements,0.06
cnemidophorine,lizards,0.06
c.,cryptus,0.06
cryptus,cole,0.06
whiptail,lizard,0.06
sand,dune,0.06
dune,habitats,0.06
espirito,santo,0.06
santo,state,0.06
state,northward,0.06
name,c.,0.06
ocellifer,spix,0.06
conservation,plans,0.06
food,habits,0.06
methods,microorganisms,0.06
strain,cy,0.06
oenococcus,oeni,0.06
vinification,protocol,0.06
bladder,press,0.06
diammonium,hydrogen,0.06
hydrogen,phosphate,0.06
mg,liter,0.06
yeast,nutrient,0.06
glass,carboys,0.06
oeni,strain,0.06
strain,eq,0.06
wine,lab,0.06
mrs,agars,0.06
fermentation,temperature,0.06
acid,concentrations,0.06
yeast,lees,0.06
volclay,wg,0.06
bentonite,lees,0.06
m,membrane,0.06
membrane,filtration,0.06
nylon,disk,0.06
disk,filter,0.06
winemaking,process,0.06
high-pressure,liquid,0.06
liquid,chromatography,0.06
summit,hplc,0.06
hplc,system,0.06
m,nylon,0.06
nylon,filters,0.06
supelguard,ch,0.06
%,hpo4,0.06
class,vp,0.06
vp,system,0.06
precolumn,derivatization,0.06
bartok,et,0.06
solution,bacillus,0.06
bacillus,strains,0.06
bacillus,spores,0.06
spore,concentration,0.06
count,analysis,0.06
lb,plates,0.06
stock,spore,0.06
seed,treatment,0.06
treatment,oilseed,0.06
oilseed,rape,0.06
%,sodium,0.06
sodium,hypochlorite,0.06
%,methanol,0.06
bacillus,inoculation,0.06
plant,development,0.06
temperature,settings,0.06
water,status,0.06
phenotypic,differences,0.06
germination,efficiency,0.06
seed,development,0.06
germination,rate,0.06
plant,growth,0.06
pathogen,studies,0.06
water,availability,0.06
a.,brassicae,0.06
potato,dextrose,0.06
dextrose,agar,0.06
chemical,co.,0.06
st,louis,0.06
agar,surface,0.06
pipette,tip,0.06
bürkner,chamber,0.06
sample,size,0.06
fire,occurrence,0.06
%,/year,0.06
area,basis,0.06
reserve,type,0.06
park,planners,0.06
conf,licts,0.06
conservation,threats,0.06
deforestation,pressure,0.06
%,deforestation,0.06
outer,buffer,0.06
fire,data,0.06
risk,regions,0.06
park,network,0.06
land,rights,0.06
thoracic,segments,0.06
arolium,cordate,0.06
end,discal,0.06
discal,cell,0.06
surface,beige,0.06
area,extends,0.06
dorsal,surface,0.06
colour,pattern,0.06
dorsal,hind,0.06
hind,wings,0.06
end,cell,0.06
m3,proximal,0.06
andm3,equidistant,0.06
cup,arising,0.06
vein,m3-cua1,0.06
cua2,arising,0.06
scale,tuft,0.06
dorsal,view,0.06
valva,aquiline,0.06
margin,convex,0.06
margin,excavate,0.06
vinculum,rectangular,0.06
bulb,foramen,0.06
margin,concave,0.06
half,subtriangular,0.06
descending,arms,0.06
ascending,arm,0.06
dorsal,gland,0.06
genus,adelphocoris,0.06
adelphocoris,reuter,0.06
a.,seticornis,0.06
vasa,efferentia,0.06
tachinid,flies,0.06
host,data,0.06
tachinid,parasitoids,0.06
south,america,0.06
phasiinae,parasitize,0.06
exorista,meigen,0.06
tribe,exoristini,0.06
podotachina,brauer,0.06
ptilotachina,brauer,0.06
exoristella,mesnil,0.06
subgenus,spixomyia,0.06
e.,doddi,0.06
male,postabdomens,0.06
host,use,0.06
methods,type,0.06
voucher,materials,0.06
biosystematics,laboratory,0.06
malaysia,sabah,0.06
academia,sinica,0.06
museum,zoologicum,0.06
zoologicum,bogoriense,0.06
history,museum,0.06
inner,margins,0.06
compound,eyes,0.06
eye,height,0.06
character,states,0.06
data,matrix,0.06
winthemia,venusta,0.06
sister,group,0.06
stepwise,addition,0.06
addition,sequence,0.06
bisection,reconnection,0.06
reconnection,branch,0.06
hydrochory,dispersal,0.06
river,banks,0.06
stream,headwaters,0.06
flow,pattern,0.06
population,effectives,0.06
brownoid,motion,0.06
living,beings,0.06
motion,”,0.06
