JA_HI,

noun1,noun2,normed_freq
world,history,0.86
jin,yi,0.43
time,discipline,0.31
tel,aviv,0.31
john,paul,0.25
paul,ii,0.25
world,war,0.18
henry,ii,0.18
community,development,0.18
pasteur,institute,0.18
’,s,0.18
latin,america,0.18
porcelain,production,0.18
population,policy,0.18
science,fiction,0.18
north,america,0.12
factory,system,0.12
war,i,0.12
blanch,farm,0.12
robert,fitz,0.12
fitz,harding,0.12
development,funds,0.12
rockefeller,foundation,0.12
zhou,gucheng,0.12
knowledge,production,0.12
consumer,culture,0.12
luxury,goods,0.12
taoye,tu,0.12
media,coverage,0.12
mass,communications,0.12
communications,media,0.12
print,media,0.12
holy,see,0.12
family,issues,0.12
world,conference,0.12
paul,vi,0.12
woman,poet,0.12
health,problem,0.12
vd,clinics,0.12
time,regimes,0.06
approach,proceeds,0.06
fifteen,years,0.06
time,disciplines,0.06
clock,time,0.06
market,forces,0.06
time,awareness,0.06
work,discipline,0.06
twentieth-century,ideologies,0.06
seventy,thousand,0.06
arab,inhabitants,0.06
modernity,versus,0.06
versus,tradition,0.06
zionist,ideology,0.06
arab,residents,0.06
ninety,percent,0.06
s,i,0.06
history,palestine,0.06
trade,networks,0.06
war,globalization,0.06
network,formation,0.06
aviv,region,0.06
zionist,movement,0.06
exchequer,system,0.06
henry,i,0.06
county,farm,0.06
henry,i.,0.06
empress,matilda,0.06
duke,henry,0.06
administration,occur,0.06
business,career,0.06
fitz,hardings,0.06
model,cities,0.06
cities,program,0.06
congressman,donald,0.06
city,council,0.06
council,persons,0.06
county,officials,0.06
r.,ford,0.06
metropolitan,america,0.06
development,block,0.06
block,grant,0.06
cdbg,program,0.06
development,movement,0.06
government,services,0.06
robert,weaver,0.06
george,romney,0.06
recurrent,scandals,0.06
apache,presence,0.06
apache,companies,0.06
michael,tate,0.06
enhance,incorporation,0.06
pawnee,cases,0.06
labor,system,0.06
reservation,life,0.06
colonial,society,0.06
army,careers,0.06
apache,case,0.06
s.,conquest,0.06
colonial,drawing,0.06
labor,experiences,0.06
work,tasks,0.06
work,periods,0.06
nothing,permanent,0.06
pawnee,soldiers,0.06
exclusion,logical,0.06
army,community,0.06
anton,litvak,0.06
reality,construct,0.06
telegraphic,network,0.06
paul,scott,0.06
raj,quartet,0.06
colonial,surveyor,0.06
water,desire,0.06
parry,notes,0.06
colonial,identity,0.06
acquaintances,drop,0.06
laboratory,services,0.06
health,campaigns,0.06
s,help,0.06
health,services,0.06
lucien,raynaud,0.06
health,board,0.06
selskar,gunn,0.06
advocate.80,raynaud,0.06
richard,pearce,0.06
“,raynaud,0.06
maurice,violette,0.06
s,advances,0.06
vaccine,program,0.06
control,group,0.06
reform,projects,0.06
research,institute,0.06
time,calmette,0.06
lu¨beck,catastrophe,0.06
laboratory,work,0.06
s,watch,0.06
population,density,0.06
selection,bias,0.06
grinding,poverty,0.06
”,rut,0.06
history,articles,0.06
antebellum,slavery,0.06
james,oakes,0.06
barbara,fields,0.06
market,cultures,0.06
karen,halttunen,0.06
jackson,lears,0.06
john,kasson.82,0.06
karl,polanyi,0.06
embeddedness,”,0.06
halttunen,’,0.06
georg,simmel,0.06
ground-,swells,0.06
zero,sums,0.06
s,records,0.06
s,photographs,0.06
jazz,tours,0.06
commodity,chains,0.06
connect,mcgill,0.06
s,newspapers,0.06
s,books,0.06
opinion,polls,0.06
s,blueprints,0.06
s,swan,0.06
swan,song,0.06
brion,davis,0.06
ahr,readers,0.06
history.,”,0.06
