PS_HI,

noun1,noun2,frequency
world,war,0.31
status,quo,0.25
state,governments,0.18
virus,infection,0.18
punch,cards,0.18
home,front,0.18
poliomyelitis,virus,0.12
concentration,camp,0.12
dinner,party,0.12
communist,party,0.12
clinton,administration,0.12
clinton,officials,0.12
historians,today,0.12
communist,empire,0.12
end,result,0.12
tugboat,workers,0.12
abolitionist,societies,0.12
eighteenth-century,words,0.06
court,cases,0.06
state,laws,0.06
minority,rights,0.06
justice,holmes,0.06
congress,void,0.06
state,legislation,0.06
war,era,0.06
firsthand,experience,0.06
article,i,0.06
centralizer,alexander,0.06
alexander,hamilton,0.06
polio,epidemics,0.06
world,health,0.06
health,organization,0.06
fever,virus,0.06
government,agencies,0.06
health,problems,0.06
immunodeficiency,virus,0.06
hemorrhagic,fevers,0.06
death,rates,0.06
fear,today,0.06
war,i,0.06
cow,disease,0.06
virus,remain,0.06
immune,system,0.06
microbe,hunters,0.06
lassa,fever,0.06
spongiform,encephalopathies,0.06
duplicate,versions,0.06
work,contains,0.06
contains,plenty,0.06
times,cuts,0.06
ancient,israelites,0.06
chosen,people,0.06
epic,poems,0.06
verse,compositions,0.06
folk,tales,0.06
law,cases,0.06
weekend,dacha,0.06
stranger,hiding,0.06
writer,aleksandr,0.06
aleksandr,solzhenitsyn,0.06
kgb,officers,0.06
summer,holidays,0.06
family,dacha,0.06
kilometers,southeast,0.06
bolshevik,rule,0.06
party,leaders,0.06
mass,executions,0.06
hiding,place,0.06
kgb,memorandum,0.06
writer,intent,0.06
occupying,forces,0.06
war,criminal,0.06
research,institutes,0.06
system,germans,0.06
rallying,point,0.06
guiltless,view,0.06
extermination,camps,0.06
time,germany,0.06
asset,confiscation,0.06
railroad,lines,0.06
death,camps,0.06
gas,chamber,0.06
ibm,punch,0.06
punch,card,0.06
system—a,precursor,0.06
assistance,hitler,0.06
icy,automation,0.06
ibm,germany,0.06
deutsche,hollerith,0.06
hollerith,maschinen,0.06
maschinen,gesellschaft,0.06
york,headquarters,0.06
party,affiliation,0.06
party,connections,0.06
business,relationship,0.06
data,columns,0.06
software,designer,0.06
branch,offices,0.06
ibm,employees,0.06
paper,mills,0.06
code,books,0.06
service,bureau,0.06
bureau,today,0.06
data,backups,0.06
conflicting,claims,0.06
secessionist,efforts,0.06
policy,makers,0.06
secessionist,movements,0.06
chain,reaction,0.06
policy,community,0.06
warren,christopher,0.06
confirmation,hearing,0.06
world,consisting,0.06
minority,groups,0.06
breakaway,states,0.06
pluralism,democracies,0.06
garrison,atmosphere,0.06
mass,murder,0.06
auschwitz,echoes,0.06
garrison,mentality,0.06
holocaust,museums,0.06
holocaust,memorial,0.06
redeeming,god,0.06
affirmation,devoid,0.06
jews,underwent,0.06
emmanuel,levinas,0.06
holocaust,shatters,0.06
jacob,neusner,0.06
maggie,farley,0.06
mao,zedong,0.06
mass,movement,0.06
chiang,kai-shek,0.06
kuomintang,rule,0.06
leninist,model,0.06
communist,army,0.06
inland,jiangxi,0.06
jiangxi,province,0.06
leninist,parties,0.06
history,democracy,0.06
sense,democracy,0.06
abraham,lincoln,0.06
writer,alexis,0.06
work,democracy,0.06
century,b.c.e.,0.06
roman,republic,0.06
democracies,today,0.06
book,i,0.06
war,ii,0.06
help,officials,0.06
president,bill,0.06
bill,clinton,0.06
state,department,0.06
department,official,0.06
media,enthusiast,0.06
reform,meant,0.06
shock,therapy,0.06
welfare,subsidies,0.06
state,enterprises,0.06
president,boris,0.06
boris,yeltsin,0.06
trade,unions,0.06
reelection,headquarters,0.06
security,adviser,0.06
stone,age,0.06
flint,tools,0.06
homo,sapiens,0.06
sapiens,sapiens,0.06
ice,sheet,0.06
land,mass,0.06
arm,protruding,0.06
ice,ages,0.06
ice,age,0.06
outer,islands,0.06
remoter,uplands,0.06
course,hut-circles,0.06
offshore,islands,0.06
millennium,bc,0.06
land,surfaces,0.06
warmer,seas,0.06
range,sank,0.06
ocean,tides,0.06
inner,bay,0.06
salt,water,0.06
sunrise,sea,0.06
chalk,ridges,0.06
salty,marshland,0.06
springlike,breeze,0.06
ruddy,torchlight,0.06
country,living,0.06
bedroom,window,0.06
autumn,retreat,0.06
hyde,park,0.06
hardwoods,leafless,0.06
lowering,sky,0.06
mighty,hudson,0.06
friend,louis,0.06
louis,howe,0.06
inland,sea,0.06
crum,elbow,0.06
innermost,recesses,0.06
iron,determination,0.06
nerve,tissue,0.06
godless,secularism,0.06
muslim,rule,0.06
jewish-muslim,relations,0.06
majority,intolerance,0.06
world,today,0.06
vantage,point,0.06
judah,halevi,0.06
prophet,ezekiel,0.06
george,fitzhugh,0.06
book,sociology,0.06
henry,hughes,0.06
question,[,0.06
war,crisis,0.06
louis,hartz,0.06
john,c.,0.06
c.,calhoun,0.06
state,sovereignty,0.06
satellite,regimes,0.06
university,chairs,0.06
brain,trusts,0.06
berlin,wall,0.06
grotesque,brutalities,0.06
success,story,0.06
outlaw,state,0.06
world,power,0.06
war,i.,0.06
line,infantry,0.06
infantry,battalions,0.06
something,i,0.06
dwight,d.,0.06
d.,eisenhower,0.06
battle,monuments,0.06
monuments,commission,0.06
territory,fifteen,0.06
fifteen,years,0.06
john,j.,0.06
heroic,charges,0.06
enemy,machine,0.06
machine,gun,0.06
gun,nests,0.06
air,aces,0.06
boyhood,fantasies,0.06
château,thierry,0.06
childhood,concepts,0.06
inevitability,side,0.06
john,adams,0.06
folio,book,0.06
latin,america,0.06
colonial,status,0.06
bygone,days,0.06
way,station,0.06
market,economy,0.06
foregone,conclusions,0.06
café,duchêne,0.06
afternoon,distribution,0.06
tobacco,ration,0.06
school,attendance,0.06
midday,calm,0.06
der,führer,0.06
führer,regiment,0.06
waffen,ss,0.06
ss,tank,0.06
tank,division,0.06
division,das,0.06
das,reich,0.06
town,crier,0.06
identity,papers,0.06
ss,soldiers,0.06
market,square,0.06
makeshift,school,0.06
roger,godfrin,0.06
school,building,0.06
dr.,jacques,0.06
house,call,0.06
paul,desourteaux,0.06
town,hall,0.06
mayor,desourteaux,0.06
communists—a,dockside,0.06
dockside,presence,0.06
shipping,association,0.06
wage,hike,0.06
contract,ryan,0.06
labor,turmoil,0.06
elevator,operators,0.06
fuel,oil,0.06
midwinter,strike,0.06
transportation,system,0.06
mayor,william,0.06
william,o'dwyer,0.06
labor,relations,0.06
price,controls,0.06
tugboat,owners,0.06
labor,costs,0.06
wage,increases,0.06
labor,movement,0.06
president,harry,0.06
