JA_BI,

noun1,noun2,normed_freq
mass,loss,0.46
motor,neuron,0.46
heart,disease,0.39
mdxcv,mice,0.31
heart,failure,0.31
body,weight,0.23
cell,counts,0.23
mm,inner,0.23
inner,diameter,0.23
reserve,types,0.23
deforestation,rates,0.23
cross,vein,0.23
deferentia,expand,0.23
ejaculatory,bulb,0.23
stream,waters,0.23
carbon,source,0.23
study,period,0.23
time,lapse,0.23
litter,decomposition,0.23
et,al,0.23
tumor,cells,0.23
foxo,allele,0.23
motor,neurons,0.23
food,consumption,0.15
consumption,index,0.15
kg,body,0.15
body,wt,0.15
pressure,overload,0.15
gene,program,0.15
spore,solution,0.15
growth,chamber,0.15
inhibitor,effect,0.15
lands,parks,0.15
land,area,0.15
outer,margin,0.15
accessory,cell,0.15
vasa,deferentia,0.15
descending,arm,0.15
ascending,arm,0.15
band,disease,0.15
mucus,bacteria,0.15
coral,pathogens,0.15
clone,libraries,0.15
membrane,filters,0.15
wastewater,treatment,0.15
treatment,plant,0.15
plant,effluent,0.15
water,temperature,0.15
correlation,coefficient,0.15
air,inflow,0.15
traction,force,0.15
traction,stress,0.15
adhesion,length,0.15
lapse,images,0.15
leaf,litter,0.15
sporulation,rates,0.15
sporulation,peak,0.15
sporulation,peaks,0.15
greenhouse,gas,0.15
gas,emissions,0.15
growth,cones,0.15
room,temperature,0.15
cancer,cells,0.15
plasma,membrane,0.15
neuron,nuclei,0.15
neuron,differentiation,0.15
body,extracts,0.15
antibody,specificity,0.15
foxo,animals,0.15
cell,lines,0.15
bovine,serum,0.15
mouse,weight,0.08
mean,body,0.08
mdx,mice,0.08
test,substances,0.08
drug,intake,0.08
mdxcv,animals,0.08
muscle,histology,0.08
muscle,fibers,0.08
caliber,cells,0.08
mice,fed,0.08
heart,function,0.08
disease,type,0.08
type,deiodinase,0.08
prohormone,thyroxine,0.08
mouse,hearts,0.08
tetracycline,transactivator,0.08
transactivator,system,0.08
cardiac,levels,0.08
phenotypic,changes,0.08
reticulum,calcium,0.08
exchanger,myosin,0.08
myosin,heavy,0.08
heavy,chain,0.08
expression,patterns,0.08
gene,expression,0.08
homeostasis,myosin,0.08
myosin,isozyme,0.08
isozyme,content,0.08
content,myosin,0.08
action,potential,0.08
potential,profile,0.08
example,circulating,0.08
triiodothyronine,levels,0.08
deiodinase,type,0.08
type,activity,0.08
receptor,expression,0.08
heart,dis¬ease,0.08
prohor,mone,0.08
heart,overexpression,0.08
contractile,function,0.08
calcium,cycling,0.08
disease,patients,0.08
lizard,body,0.08
body,measurements,0.08
cnemidophorine,lizards,0.08
prey,larvae,0.08
whiptail,lizard,0.08
sand,dune,0.08
dune,habitats,0.08
conservation,plans,0.08
food,habits,0.08
cerevisiae,strain,0.08
bladder,press,0.08
press,type,0.08
solids,content,0.08
hydrogen,phosphate,0.08
mg,liter,0.08
liter,glass,0.08
glass,carboys,0.08
oeni,strain,0.08
fermentation,temperature,0.08
room,samples,0.08
cap,tubes,0.08
acid,concentrations,0.08
yeast,lees,0.08
°c,week,0.08
membrane,filtration,0.08
filtration,mm,0.08
mm,nylon,0.08
nylon,disk,0.08
disk,filter,0.08
winemaking,process,0.08
ml,bottles,0.08
ion,exchange,0.08
pressure,liquid,0.08
liquid,chromatography,0.08
nylon,filters,0.08
line,filter,0.08
ml,min,0.08
precolumn,derivatization,0.08
diameter,column,0.08
spore,concentration,0.08
count,analysis,0.08
stock,spore,0.08
rape,napus,0.08
napus,cv,0.08
sodium,hypochlorite,0.08
brief,rinse,0.08
soil,jord,0.08
temperature,settings,0.08
water,status,0.08
phenotypic,differences,0.08
germination,efficiency,0.08
efficiency,number,0.08
seed,development,0.08
development,plants,0.08
germination,rate,0.08
water,availability,0.08
potato,dextrose,0.08
dextrose,agar,0.08
chamber,photoperiod,0.08
agar,surface,0.08
sample,size,0.08
ties,differences,0.08
fire,occurrence,0.08
rates,year,0.08
area,basis,0.08
reserve,type,0.08
park,planners,0.08
conf,licts,0.08
conservation,threats,0.08
deforestation,pressure,0.08
pressure,deforestation,0.08
fire,data,0.08
risk,regions,0.08
park,network,0.08
land,rights,0.08
wing,triangular,0.08
end,discal,0.08
discal,cell,0.08
surface,beige,0.08
beige,brighter,0.08
area,extends,0.08
angle,pattern,0.08
dorsal,surface,0.08
dorsal,hind,0.08
hind,wings,0.08
end,cell,0.08
cell,chorda,0.08
chorda,ellipsoidal,0.08
