PS_BI,

noun1,noun2,normed_freq
homo,erectus,0.36
cocoa,beans,0.29
fossil,record,0.22
growth,dynamics,0.22
peacock's,tail,0.22
bourn,hall,0.14
hiv,virulence,0.14
year,group,0.14
living,forms,0.14
baboons,males,0.14
fossil,records,0.14
rain,forest,0.14
rain,forests,0.14
blood,pressure,0.14
stage,abortion,0.14
group,members,0.14
ground,level,0.14
mate,choice,0.14
world,war,0.14
world,try,0.07
science,fiction,0.07
fiction,stories,0.07
mountains,swamps,0.07
elves,wizards,0.07
clawed,goblins,0.07
mountains,deserts,0.07
deserts,forests,0.07
canyons,plateaus,0.07
sand,dunes,0.07
museum,reconstructions,0.07
reconstructions,paintings,0.07
life,geologists,0.07
term,mesozoic,0.07
earth's,land,0.07
sea,level,0.07
world,ancestral,0.07
sense,alternative,0.07
tyrannosaurus,rex,0.07
life,patterns,0.07
mesozoic,world,0.07
television,sets,0.07
aid,concert,0.07
wembley,stadium,0.07
jacobean,manor,0.07
manor,house,0.07
house,bourn,0.07
lawn,herd,0.07
hand,knit,0.07
knit,sweaters,0.07
baby,bottles,0.07
bottles,bibs,0.07
sitting,room,0.07
robert,edwards,0.07
clock,hasn't,0.07
professions,abortion,0.07
career,opportunities,0.07
age,women,0.07
dalkon,shield,0.07
fertilization,edwards,0.07
women's,eggs,0.07
male,lab,0.07
lab,techs,0.07
research,fellowship,0.07
chapel,hill,0.07
research,council,0.07
collaborator,patrick,0.07
patrick,steptoe,0.07
washington,james,0.07
reality,layer,0.07
suffering,mother,0.07
sheer,effort,0.07
sea,floor—this,0.07
floor—this,way,0.07
hands,time,0.07
negative,mould,0.07
name,paradoxides,0.07
end,knew,0.07
hiv,types,0.07
cause,aids,0.07
glance,collaborative,0.07
collaborative,study,0.07
period,hiv,0.07
hiv,circulation,0.07
risk,sex,0.07
sex,partners,0.07
hiv,strains,0.07
amsterdam,cohort,0.07
cohort,studies,0.07
virus,load,0.07
virus,reproduction,0.07
host,cells,0.07
decision,charles,0.07
intervening,years,0.07
barnacles,barnacles,0.07
russel,wallace,0.07
naturalist,lamarck,0.07
scot,robert,0.07
robert,chambers,0.07
chambers,evolution,0.07
evolution,mechanism,0.07
philosopher,daniel,0.07
daniel,dennett,0.07
cranes,evolution,0.07
life,upward,0.07
