TB_BI,

noun1,noun2,normed_freq
cell,wall,0.3
body,size,0.3
body,sites,0.3
water,quality,0.3
cell,body,0.23
complement,system,0.23
cell,types,0.23
butt,swell,0.15
areas,others,0.15
mycorrhizal,forms,0.15
cancer,cells,0.15
carbon,sources,0.15
amino,acids,0.15
end,products,0.15
plasma,membrane,0.15
colorless,cryptophyte,0.15
type,allele,0.15
population,size,0.15
culture,medium,0.15
water,availability,0.15
plant,species,0.15
land,use,0.15
state,variables,0.15
conductive,properties,0.15
sensory,capabilities,0.15
action,potentials,0.15
larvae,juveniles,0.15
probability,distributions,0.15
identification,keys,0.08
altitudes,foresters,0.08
ground,dbh,0.08
trunk,size,0.08
leaves,twigs,0.08
grown,specimens,0.08
side,branches,0.08
growth,form,0.08
wood,trees,0.08
tall,flowering,0.08
flowering,stalk,0.08
treelike,yuccas,0.08
orthotropic,branches,0.08
plagiotropic,branches,0.08
term,toadstool,0.08
discussion,mushrooms,0.08
type,see,0.08
death,cup,0.08
jack,o',0.08
honey,mushroom,0.08
hobby,mycologists,0.08
mushroom,manuals,0.08
collector's,item,0.08
color,stereophotographs,0.08
group,agarics,0.08
habitat,mushrooms,0.08
forms,others,0.08
evening,watch,0.08
space,move,0.08
living,thing,0.08
dense,volume,0.08
time,zero,0.08
dense,state,0.08
background,radiation,0.08
years,stars,0.08
life,history,0.08
stardust,memories,0.08
space,telescope,0.08
dust,clouds,0.08
disease,humans,0.08
disease,studies,0.08
life,threatening,0.08
cholera,chancroid,0.08
animal,model,0.08
intervention,trials,0.08
immunodeficiency,virus,0.08
controversy,arose,0.08
control,group,0.08
trial,group,0.08
term,course,0.08
test,design,0.08
course,scientists,0.08
course,trial,0.08
syphilis,experiment,0.08
trial,men,0.08
hepatitis,virus,0.08
research,subjects,0.08
beneficence,maximize,0.08
maximize,benefit,0.08
risk,distribution,0.08
human,activities,0.08
burn,gardens,0.08
hunter,gatherer,0.08
gatherer,societies,0.08
outer,crust,0.08
surface,layer,0.08
molten,rock,0.08
mountain,ranges,0.08
chemical,elements,0.08
year,period,0.08
living,world,0.08
multicellular,green,0.08
green,plants,0.08
planet’s,environment,0.08
plant,life,0.08
development,sediments,0.08
mountain,uplift,0.08
cycling,phenomenon,0.08
wastewater,treatment,0.08
treatment,plants,0.08
host,cells,0.08
group,specifi,0.08
specifi,primers,0.08
predominant,bacteria,0.08
fragilis,group,0.08
fever,cholera,0.08
wastewater,range,0.08
cause,typhoid,0.08
paratyphoid,fever,0.08
food,contamination,0.08
drinking,water,0.08
concern,typhi,0.08
water,treatment,0.08
chlorination,fi,0.08
fi,ltration,0.08
tinder,medicinals,0.08
food,beer,0.08
beer,wine,0.08
wine,cheese,0.08
plant,diseases,0.08
plant,pathogens,0.08
botany,fungi,0.08
model,organisms,0.08
toxins,antibiotics,0.08
cosmopolitan,worldwide,0.08
worldwide,genus,0.08
toxic,aleukia,0.08
lichens,potency,0.08
carbon,cycle,0.08
cause,diseases,0.08
elm,disease,0.08
yeasts,molds,0.08
diseases,yeasts,0.08
contrast,occur,0.08
size,fungi,0.08
wall,plasma,0.08
plasma,membranes,0.08
sterol,ergosterol,0.08
ergosterol,rrna,0.08
carbon,needs,0.08
carbohydrates,lipids,0.08
proteins,lipids,0.08
energy,differences,0.08
sugar,alcohols,0.08
proteins,purines,0.08
acids,glucosamine,0.08
use,nitrate,0.08
mass,cultivation,0.08
cultivation,speed,0.08
growth,use,0.08
cheap,substrates,0.08
fermentation,industries,0.08
beverage,fermentations,0.08
random,screening,0.08
culture,collections,0.08
strain,improvement,0.08
improvement,strategies,0.08
engineering,technology,0.08
food,products,0.08
product,approval,0.08
producer,organism,0.08
safety,measures,0.08
containment,facilities,0.08
‘crippled’,strains,0.08
fermenter,environment,0.08
environment,strategies,0.08
shotgun,approach,0.08
approach,samples,0.08
living,microorganisms,0.08
plant,material,0.08
material,soil,0.08
soil,sewage,0.08
sewage,water,0.08
waste,streams,0.08
target,compound,0.08
compound,sites,0.08
growth,media,0.08
cultivation,conditions,0.08
shorthand,expression,0.08
number,measures,0.08
difference,dissimilarity,0.08
example,species,0.08
species,places,0.08
places,emphasis,0.08
biochemistry,biogeography,0.08
history,genetics,0.08
genetics,morphology,0.08
decomposer,predator,0.08
example,closer,0.08
abundance,elephants,0.08
ways,none,0.08
body,mass,0.08
determinants,number,0.08
clothing,housing,0.08
air,conditioning,0.08
mucosal,surfaces,0.08
respiratory,system,0.08
composition,water,0.08
water,activity,0.08
activity,salinity,0.08
temperature,range,0.08
range,°c,0.08
growth,temperature,0.08
temperature,change,0.08
humidity,changes,0.08
duodenum,caecum,0.08
alkaline,environments,0.08
tear,film,0.08
growth,microbes,0.08
acidophiles,neutrophiles,0.08
ph,range,0.08
metabolism,streptococci,0.08
streptococci,lactobacilli,0.08
freshwater,environments,0.08
cell,shape,0.08
shape,results,0.08
periplast,plates,0.08
area,adjacent,0.08
chloroplast,envelope,0.08
outer,membrane,0.08
genes,humans,0.08
basal,body,0.08
body,replication,0.08
carotenoid,present,0.08
xanthophyll,diatoxanthin,0.08
societies,storage,0.08
storage,spoilage,0.08
preservation,methods,0.08
“turning,lemons,0.08
microscopic,fungus,0.08
crude,microscope,0.08
pond,water,0.08
neck,flask”,0.08
flask”,experiment,0.08
animal,ii,0.08
community,members,0.08
plating,method,0.08
degrade,gelatin,0.08
chance,effects,0.08
conservation,loss,0.08
beetle,populations,0.08
fixation,homozygosity,0.08
allele,none,0.08
fruit,flies,0.08
parent,population,0.08
base,population,0.08
reduces,heterozygosity,0.08
diversity,arises,0.08
generation,bottlenecks,0.08
pair,bottleneck,0.08
wildlife,populations,0.08
size,bottlenecks,0.08
wood,characteristic,0.08
sea,water,0.08
strength,properties,0.08
wood,woods,0.08
strength,characteristics,0.08
characteristics,forces,0.08
elasticity,flexibility,0.08
cell,cohesion,0.08
wood,reach,0.08
levels,deformation,0.08
strain,occurs,0.08
temperature,gradients,0.08
wall,material,0.08
material,cellulose,0.08
cellulose,lignin,0.08
wood,sample,0.08
cell,lumen,0.08
knots,checks,0.08
deformation,characteristics,0.08
term,stresses,0.08
